day,date,initial_mass,final_mass,initial_t_hh,initial_t_lh,initial_t_hc,initial_t_lc,final_t_hh,final_t_lh,final_t_hc,final_t_lc,total_charge_power,total_discharge_power,charge_hours,discharge_hours,idle_hours,daily_profit,daily_penalty,daily_net_profit,avg_charge_power,avg_discharge_power,max_violations,avg_eff_com,avg_eff_exp,avg_lmp,max_lmp,min_lmp
1,Day_1,4.331254331,1.662508663,1013.15,768.4455486,309.6749791,240.2156867,1011.668873,767.4089258,309.6532585,240.2618994,1424.597554,1613.081797,5,7,12,118162.813,0,118162.813,284.9195108,230.4402567,0,0.869997698,0.92999926,61.33012708,222.4155,35.61398
2,Day_2,1.662508663,0,1011.668873,767.4089258,309.6532585,240.2618994,1010.744776,766.7158675,309.4434377,240.2079241,1976.29159,1764.44073,6,8,10,148060.0582,0,148060.0582,329.3819317,220.5550912,0,0.869997378,0.929997424,68.98764417,318.8193,37.27719
3,Day_3,0,0,1010.744776,766.7158675,309.4434377,240.2079241,1010.400756,765.9869978,309.5171052,240.0739471,1647.537003,1150.754755,5,5,14,31771.96465,0,31771.96465,329.5074006,230.150951,0,0.869993653,0.929994532,47.48872583,114.25,32.7977
4,Day_4,0,0,1010.400756,765.9869978,309.5171052,240.0739471,1009.855184,765.5396771,309.557041,240.0063878,1977.867471,1379.968079,6,6,12,26865.57134,0,26865.57134,329.6445785,229.9946799,0,0.869989089,0.929990166,40.80814792,71,26.72356
5,Day_5,0,0,1009.855184,765.5396771,309.557041,240.0063878,1009.510413,765.2013649,309.5642262,239.9675448,1978.365908,1379.414758,6,6,12,21486.18364,0,21486.18364,329.7276513,229.9024597,0,0.869985714,0.929986915,38.95423542,71.14175,27.33447
6,Day_6,0,0,1009.510413,765.2013649,309.5642262,239.9675448,1009.231377,765.1109017,309.5669925,239.9412433,2308.50476,1608.61659,7,7,10,21063.22189,0,21063.22189,329.7863943,229.80237,0,0.869982962,0.929984351,35.05250167,59.47574,20.07426
7,Day_7,0,4.331254331,1009.231377,765.1109017,309.5669925,239.9412433,1009.339443,765.5118788,309.1858912,239.8708724,2857.0437,997.251524,9,5,10,2553.23143,0,2553.23143,317.4493,199.4503048,0,0.869978311,0.929976185,30.59870208,57.42631,12.57056
