mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
char,1.0,1.0000000000000002,-328.82108834565776,1012.3379607906664,767.8815042014496,309.66115669255566,240.2579135474579,-11875.843819759764,0.87,0.93,8.331254331254332,0,0,0,1,Day_1,11,11,11
char,0.3312543312543301,1.0019811649373063,-109.15589044729154,1012.4542152043813,767.8345310510294,309.6600055768864,240.19818429219904,-4015.1946404487894,0.8699738233078479,0.9299918880340857,8.662508662508662,0,0,0,1,Day_1,12,12,12
idle,0.0,0.0,0.0,1012.3827847828609,767.7875625979243,309.65885457632874,240.20397947376983,0.0,,,8.662508662508662,0,0,0,1,Day_1,13,13,13
idle,0.0,0.0,0.0,1012.3113615043826,767.7405988416646,309.6577036908711,240.20977407582248,0.0,,,8.662508662508662,0,0,0,1,Day_1,14,14,14
dis,1.0,1.0,230.5615270696935,1012.2399453682322,767.76734639857,309.6607284674908,240.2155680984149,14920.092928503464,0.87,0.93,7.662508662508662,0,0,0,1,Day_1,15,15,15
dis,1.0,1.0,230.53033693440656,1012.1685363736954,767.7169995294809,309.6600757380546,240.2213615416051,20916.47161482247,0.87,0.93,6.662508662508662,0,0,0,1,Day_1,16,16,16
dis,1.0,1.0,230.49914991813316,1012.097134520058,767.6666578079165,309.65942305728,240.22715440545096,26304.03975558704,0.87,0.93,5.662508662508662,0,0,0,1,Day_1,17,17,17
dis,1.0,0.999794851225848,230.42859210558694,1012.025739806606,767.6296204494848,309.6583254662334,240.23294669001044,51250.89052746018,0.8699996724438523,0.9299998591328519,4.662508662508662,0,0,0,1,Day_1,18,18,18
dis,1.0,0.9997631029309194,230.39132548839635,1011.9543522326253,767.5889139364693,309.6573507713517,240.23873839534144,25226.68896869894,0.869999649289033,0.9299998267253231,3.662508662508662,0,0,0,1,Day_1,19,19,19
dis,1.0,0.9997313562727858,230.35406242498055,1011.882971797402,767.5463752347686,309.6564375528258,240.24452952150193,16957.804551533598,0.8699996252888869,0.9299997904881763,2.662508662508662,0,0,0,1,Day_1,20,20,20
dis,1.0,0.9996996112524853,230.3168029153136,1011.8115985002222,767.5027916151568,309.6555594878788,240.2503200685498,13802.48985381373,0.8699996004440003,0.9299997504209817,1.662508662508662,0,0,0,1,Day_1,21,21,21
idle,0.0,0.0,0.0,1011.7402323403721,767.4558563359952,309.65440893193,240.25611003654296,0.0,,,1.662508662508662,0,0,0,1,Day_1,22,22,22
idle,0.0,0.0,0.0,1011.668873317138,767.4089257503616,309.6532584910368,240.26189942553933,0.0,,,1.662508662508662,0,0,0,1,Day_1,23,23,23
idle,0.0,0.0,0.0,1011.5975214298063,767.3619998577866,309.6521081651877,240.26768823559678,0.0,,,1.662508662508662,0,0,0,2,Day_2,24,24,0
idle,0.0,0.0,0.0,1011.5261766776633,767.3150786578008,309.65095795437117,240.27347646677325,0.0,,,1.662508662508662,0,0,0,2,Day_2,25,25,1
idle,0.0,0.0,0.0,1011.4548390599956,767.2681621499349,309.64980785857574,240.2792641191266,0.0,,,1.662508662508662,0,0,0,2,Day_2,26,26,2
idle,0.0,0.0,0.0,1011.3835085760896,767.2212503337199,309.64865787778984,240.2850511927147,0.0,,,1.662508662508662,0,0,0,2,Day_2,27,27,3
idle,0.0,0.0,0.0,1011.312185225232,767.1743432086865,309.64750801200205,240.29083768759543,0.0,,,1.662508662508662,0,0,0,2,Day_2,28,28,4
idle,0.0,0.0,0.0,1011.2408690067095,767.1274407743657,309.6463582612008,240.29662360382667,0.0,,,1.662508662508662,0,0,0,2,Day_2,29,29,5
idle,0.0,0.0,0.0,1011.1695599198089,767.0805430302883,309.64520862537466,240.3024089414663,0.0,,,1.662508662508662,0,0,0,2,Day_2,30,30,6
char,1.0,1.0015121629443562,-329.36020786687396,1011.4432290626362,767.0336499759852,309.6440591045121,240.22537028225815,-12689.794292023797,0.8699966572299462,0.9299957893605968,2.662508662508662,0,0,0,2,Day_2,31,31,7
char,1.0,1.0015642270466547,-329.36889158658573,1011.5380168886397,766.9867616109876,309.64290969860167,240.19072843041445,-12383.901430497048,0.869996422056677,0.929995494227989,3.662508662508662,0,0,0,2,Day_2,32,32,8
char,1.0,1.0016162941403386,-329.37757964483745,1011.569024767644,766.9398779348265,309.6417604076318,240.17120412394533,-12322.901280202614,0.8699961788006915,0.9299951890604836,4.662508662508662,0,0,0,2,Day_2,33,33,9
