Time,solar,wind
9/15/2030 11:00,0.911639775,0.156497555
9/15/2030 12:00,0.921914396,0.162547616
9/15/2030 13:00,0.941218114,0.168268153
9/15/2030 14:00,0.937875266,0.166950057
9/15/2030 15:00,0.839289635,0.168610858
9/15/2030 16:00,0.394028303,0.165592418
9/15/2030 17:00,0.004198436,0.188303215
9/15/2030 18:00,0,0.200838309
9/15/2030 19:00,0,0.190926226
9/15/2030 20:00,0,0.170522098
9/15/2030 21:00,0,0.152885972
9/15/2030 22:00,0,0.145570538
9/15/2030 23:00,0,0.150355227
9/16/2030 0:00,0,0.15670845
9/16/2030 1:00,0,0.162692607
9/16/2030 2:00,0,0.160847272
9/16/2030 3:00,0,0.155812145
9/16/2030 4:00,0,0.163523007
9/16/2030 5:00,0.112074383,0.176677607
9/16/2030 6:00,0.638120585,0.175056349
9/16/2030 7:00,0.910250392,0.164959732
9/16/2030 8:00,0.973192855,0.177218026
9/16/2030 9:00,0.961150273,0.19564501
9/16/2030 10:00,0.936092161,0.208707343
9/16/2030 11:00,0.925813755,0.237745001
9/16/2030 12:00,0.941403618,0.251189582
9/16/2030 13:00,0.962176221,0.280253602
9/16/2030 14:00,0.963467173,0.30024912
9/16/2030 15:00,0.874940374,0.30834223
9/16/2030 16:00,0.41284744,0.305033809
9/16/2030 17:00,0.005190311,0.347713762
9/16/2030 18:00,0,0.386030817
9/16/2030 19:00,0,0.362911411
9/16/2030 20:00,0,0.345921151
9/16/2030 21:00,0,0.360538838
9/16/2030 22:00,0,0.360275218
9/16/2030 23:00,0,0.365573965
9/17/2030 0:00,0,0.363478192
9/17/2030 1:00,0,0.34933502
9/17/2030 2:00,0,0.321958164
9/17/2030 3:00,0,0.297533842
9/17/2030 4:00,0,0.258439111
9/17/2030 5:00,0.110249635,0.230165948
9/17/2030 6:00,0.638203872,0.201009662
9/17/2030 7:00,0.92511717,0.164261141
9/17/2030 8:00,0.964610481,0.151343799
9/17/2030 9:00,0.952329394,0.153835001
9/17/2030 10:00,0.932257161,0.163509826
9/17/2030 11:00,0.919287061,0.180394638
9/17/2030 12:00,0.92666177,0.188817272
9/17/2030 13:00,0.946298638,0.203421778
9/17/2030 14:00,0.928793167,0.256870576
9/17/2030 15:00,0.809147214,0.329669026
9/17/2030 16:00,0.361220689,0.397735511
9/17/2030 17:00,0.00318006,0.452805568
9/17/2030 18:00,0,0.466909196
9/17/2030 19:00,0,0.467581425
9/17/2030 20:00,0,0.451592919
9/17/2030 21:00,0,0.438517405
9/17/2030 22:00,0,0.417401505
9/17/2030 23:00,0,0.395692462
