Date,Time,LMP ($/MWh),SRP ($/MWh),hour_idx,day_idx
08/10/2024,1,37.5155,0.60773,5327,221
08/10/2024,2,37.11194,0.45,5328,222
08/10/2024,3,35.44176,0.45,5329,222
08/10/2024,4,36.16743,0.45,5330,222
08/10/2024,5,35.81419,0.45,5331,222
08/10/2024,6,35.50469,0.45,5332,222
08/10/2024,7,32.72577,0.47877,5333,222
08/10/2024,8,27.29531,0.14,5334,222
08/10/2024,9,20.07426,0.14,5335,222
08/10/2024,10,20.79927,0.14,5336,222
08/10/2024,11,22.93887,0.14,5337,222
08/10/2024,12,24.06546,0.14,5338,222
08/10/2024,13,25.6797,0.14,5339,222
08/10/2024,14,25.54448,0.14,5340,222
08/10/2024,15,28.41445,0.45,5341,222
08/10/2024,16,34.37954,0.45,5342,222
08/10/2024,17,33.54726,0.97,5343,222
08/10/2024,18,39.48886,1.0,5344,222
08/10/2024,19,47.39822,1.0,5345,222
08/10/2024,20,59.47574,9.87566,5346,222
08/10/2024,21,52.2082,1.0,5347,222
08/10/2024,22,45.31131,1.0,5348,222
08/10/2024,23,45.54489,1.5,5349,222
08/10/2024,24,41.02364,1.0,5350,222
08/11/2024,1,35.3048,0.99719,5351,222
08/11/2024,2,34.75688,0.45,5352,223
08/11/2024,3,34.47483,0.45,5353,223
08/11/2024,4,34.23344,0.45,5354,223
08/11/2024,5,33.88186,0.45,5355,223
08/11/2024,6,33.68622,0.45,5356,223
08/11/2024,7,32.38833,0.5,5357,223
08/11/2024,8,22.25845,0.45,5358,223
08/11/2024,9,12.57056,0.14,5359,223
08/11/2024,10,13.99367,0.14,5360,223
08/11/2024,11,14.08252,0.14,5361,223
08/11/2024,12,14.01846,0.20655,5362,223
08/11/2024,13,15.40274,0.14,5363,223
08/11/2024,14,15.31617,0.45,5364,223
08/11/2024,15,16.70273,0.45,5365,223
08/11/2024,16,23.63986,0.45,5366,223
08/11/2024,17,29.73661,0.5,5367,223
08/11/2024,18,37.33889,1.0,5368,223
08/11/2024,19,44.97736,1.0,5369,223
08/11/2024,20,57.42631,12.99296,5370,223
08/11/2024,21,49.59673,2.92791,5371,223
08/11/2024,22,45.02725,1.0,5372,223
08/11/2024,23,44.20303,1.5,5373,223
08/11/2024,24,39.94638,1.0,5374,223
08/12/2024,1,34.70957,0.45,5375,223
08/12/2024,2,33.43128,0.14,5376,224
08/12/2024,3,33.05219,0.14,5377,224
08/12/2024,4,32.92995,0.14,5378,224
08/12/2024,5,33.91701,0.14,5379,224
08/12/2024,6,38.1172,0.32514,5380,224
08/12/2024,7,38.11906,0.45,5381,224
08/12/2024,8,32.61275,1.31031,5382,224
08/12/2024,9,23.03189,0.14,5383,224
08/12/2024,10,19.5441,0.14,5384,224
08/12/2024,11,23.83245,0.14,5385,224
08/12/2024,12,24.64469,0.14,5386,224
08/12/2024,13,25.39841,0.14,5387,224
08/12/2024,14,25.92885,0.14,5388,224
08/12/2024,15,27.48547,0.14,5389,224
08/12/2024,16,30.75478,0.14,5390,224
08/12/2024,17,31.56408,0.45,5391,224
08/12/2024,18,41.31149,0.45,5392,224
08/12/2024,19,48.67715,1.5,5393,224
08/12/2024,20,60.67536,7.06,5394,224
08/12/2024,21,51.95753,2.5957,5395,224
08/12/2024,22,48.12405,1.5,5396,224
08/12/2024,23,45.95083,1.5,5397,224
08/12/2024,24,39.10537,1.0,5398,224
08/13/2024,1,34.37172,0.45,5399,224
