Timestamp,Load
9/17/30 6:00,2067.716795
9/17/30 7:00,2290.620005
9/17/30 8:00,2414.040746
9/17/30 9:00,2522.687229
9/17/30 10:00,2519.225884
9/17/30 11:00,2597.658385
9/17/30 12:00,2572.135011
9/17/30 13:00,2629.545273
9/17/30 14:00,2698.638152
9/17/30 15:00,2379.718439
9/17/30 16:00,2434.790329
9/17/30 17:00,2448.386159
9/17/30 18:00,2403.245417
9/17/30 19:00,2399.858013
9/17/30 20:00,2323.763883
9/17/30 21:00,2164.412627
9/17/30 22:00,1968.867442
9/17/30 23:00,1803.952156
