Date,Time,LMP ($/MWh),SRP ($/MWh)
01/08/2024,10,48.8229,0.35
01/08/2024,11,41.13584,1
01/08/2024,12,39.59418,0.53625
01/08/2024,13,39.09552,0.14
01/08/2024,14,35.75447,0.14
01/08/2024,15,37.41788,0.14
01/08/2024,16,62.99318,0.14
01/08/2024,17,102.31946,1
01/08/2024,18,107.3345,1.86
01/08/2024,19,107.16215,1
01/08/2024,20,105.16771,1
01/08/2024,21,104.85479,1
01/08/2024,22,103.48232,1
01/08/2024,23,96.40788,1
01/08/2024,24,92.68391,1
01/09/2024,1,76.34203,0.69
01/09/2024,2,71.00397,0.45
01/09/2024,3,70.91639,0.45
01/09/2024,4,70.9388,0.5
01/09/2024,5,72.64866,0.45
01/09/2024,6,81.13716,0.80863
01/09/2024,7,93.27014,1
01/09/2024,8,83.31515,1
01/09/2024,9,60.98643,1
01/09/2024,10,51.27056,0.45
01/09/2024,11,46.51511,0.35
01/09/2024,12,41.10929,0.35
01/09/2024,13,34.9716,0.14
01/09/2024,14,27.97299,0.14
01/09/2024,15,29.86793,0.14
01/09/2024,16,56.67869,0.35
01/09/2024,17,73.0242,1
01/09/2024,18,76.18695,1
01/09/2024,19,75.11437,1
01/09/2024,20,74.82343,1
01/09/2024,21,74.15357,1
01/09/2024,22,74.63914,1
01/09/2024,23,73.27237,0.76
01/09/2024,24,67.14119,1
01/10/2024,1,68.49446,0.35
01/10/2024,2,67.7773,0.35
01/10/2024,3,67.87895,0.35
01/10/2024,4,67.50877,0.35
01/10/2024,5,67.83245,0.35
01/10/2024,6,77.30015,0.35
01/10/2024,7,90.93011,0.35
01/10/2024,8,83.26492,0.45
01/10/2024,9,67.08885,0.35
01/10/2024,10,57.08406,0.71
01/10/2024,11,48.78859,0.35
01/10/2024,12,39.98106,0.3
01/10/2024,13,37.27235,0.14
01/10/2024,14,35.93557,0.14
01/10/2024,15,40.59893,0.14
01/10/2024,16,64.89346,0.35
01/10/2024,17,88.52765,0.45
01/10/2024,18,92.89474,0.76
01/10/2024,19,92.43489,1
01/10/2024,20,91.05844,1
01/10/2024,21,90.07648,1
01/10/2024,22,90.17799,0.99667
01/10/2024,23,78.04287,0.71
01/10/2024,24,73.64111,0.45
01/11/2024,1,71.01571,0.35
01/11/2024,2,70.64528,0.35
01/11/2024,3,70.36517,0.35
01/11/2024,4,70.66698,0.35
01/11/2024,5,71.47889,0.35
01/11/2024,6,83.1823,0.53
01/11/2024,7,99.82759,2
01/11/2024,8,93.11293,1
01/11/2024,9,72.27333,0.76
01/11/2024,10,51.13139,0.45
01/11/2024,11,41.60776,0.35
01/11/2024,12,37.34985,0.35
01/11/2024,13,36.65521,0.3
01/11/2024,14,35.52198,0.3
01/11/2024,15,38.42051,0.35
01/11/2024,16,66.31892,0.45
01/11/2024,17,99.72599,1
01/11/2024,18,107.32315,4.57668
01/11/2024,19,107.56933,5.18732
01/11/2024,20,105.93311,2.80806
01/11/2024,21,104.59877,2.3277
01/11/2024,22,103.12838,1.53
01/11/2024,23,100.34392,1
01/11/2024,24,95.74799,1
01/12/2024,1,77.06335,0.35
01/12/2024,2,76.90906,0.35
01/12/2024,3,76.08577,0.35
01/12/2024,4,76.20748,0.35
01/12/2024,5,83.18047,0.35
01/12/2024,6,88.03319,0.35
01/12/2024,7,99.79033,1
01/12/2024,8,91.78306,1
01/12/2024,9,65.46955,1.51
01/12/2024,10,49.40256,1
01/12/2024,11,43.7728,1
01/12/2024,12,36.38424,0.35
01/12/2024,13,28.94241,0.14
01/12/2024,14,25.54445,0.14
01/12/2024,15,28.56222,0.14
01/12/2024,16,50.14373,0.3
01/12/2024,17,84.1837,0.52658
01/12/2024,18,92.61009,1.61
01/12/2024,19,92.13231,2.85
01/12/2024,20,91.56638,2.11451
01/12/2024,21,90.87139,1
01/12/2024,22,88.747,1
01/12/2024,23,84.81522,1.5
01/12/2024,24,75.67298,1
01/13/2024,1,183.41454,1.5
01/13/2024,2,167.45769,0.35
01/13/2024,3,165.90396,0.35
01/13/2024,4,165.91605,0.35
01/13/2024,5,166.4276,0.35
01/13/2024,6,183.25192,0.87772
01/13/2024,7,185.33678,0.35
01/13/2024,8,177.75433,0.35
01/13/2024,9,121.00308,0.35
01/13/2024,10,95.63188,0.35
01/13/2024,11,81.83763,0.35
01/13/2024,12,76.86469,0.35
01/13/2024,13,76.25263,0.14
01/13/2024,14,74.55647,0.14
01/13/2024,15,81.39285,0.35
01/13/2024,16,131.52374,0.35
01/13/2024,17,192.16144,3.91
01/13/2024,18,194.84477,1.15
01/13/2024,19,193.08417,2.4
01/13/2024,20,191.0828,1.5
01/13/2024,21,192.1273,1.47
01/13/2024,22,190.45471,1.48895
01/13/2024,23,181.52032,1.5
01/13/2024,24,178.3135,0.7
01/14/2024,1,170.75665,1.13926
