hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,t_hh,t_lh,t_hc,t_lc,mode,eff_com,eff_exp,power_milp,power_physical,power_mismatch
27,2,0,0,0.0,5.0,0,0,1011.150700359123,767.130497209568,309.64275264879115,240.37768396765654,idle,,,0,0,0
28,2,0,0,0.0,5.0,0,0,1011.0794002890871,767.083599159847,309.64160337352627,240.38346119925978,idle,,,0,0,0
29,2,0,0,0.0,5.0,0,0,1011.0081073490582,767.036705799931,309.6404542131889,240.38923785313986,idle,,,0,0,0
30,2,0,0,0.0,5.0,0,0,1010.9368215383232,766.9898171293511,309.63930516776753,240.39501392935458,idle,,,0,0,0
31,2,0,0,0.0,5.0,0,0,1010.8655428561693,766.9429331476381,309.63815623725077,240.40078942796166,idle,,,0,0,0
32,2,0,0,0.0,5.0,0,0,1010.7942713018837,766.8960538543233,309.637007421627,240.40656434901888,idle,,,0,0,0
33,2,0,0,0.0,5.0,0,0,1010.7230068747534,766.8491792489378,309.6358587208848,240.412338692584,idle,,,0,0,0
34,2,0,0,0.0,5.0,0,0,1010.6517495740659,766.8023093310129,309.6347101350127,240.41811245871475,idle,,,0,0,0
35,2,0,0,0.0,5.0,0,0,1010.5804993991085,766.7554441000798,309.6335616639992,240.4238856474689,idle,,,0,0,0
36,2,0,0,0.0,5.0,0,0,1010.5092563491686,766.7085835556697,309.6324133078328,240.42965825890417,idle,,,0,0,0
37,2,0,0,0.0,5.0,0,0,1010.4380204235337,766.6617276973142,309.631265066502,240.4354302930783,idle,,,0,0,0
38,2,0,0,0.0,5.0,0,0,1010.3667916214913,766.6148765245445,309.63011693999533,240.441201750049,idle,,,0,0,0
39,2,0,0,0.0,5.0,0,0,1010.2955699423292,766.568030036892,309.62896892830133,240.446972629874,idle,,,0,0,0
40,2,0,0,0.0,5.0,0,0,1010.2243553853349,766.5211882338883,309.6278210314085,240.45274293261105,idle,,,0,0,0
41,2,0,0,0.0,5.0,0,0,1010.1531479497963,766.4743511150649,309.6266732493053,240.4585126583178,idle,,,0,0,0
42,2,0,0,0.0,5.0,0,0,1010.0819476350014,766.4275186799534,309.6255255819804,240.46428180705198,idle,,,0,0,0
43,2,0,0,0.0,5.0,0,0,1010.0107544402379,766.3806909280854,309.6243780294222,240.4700503788713,idle,,,0,0,0
44,2,0,0,0.0,5.0,0,0,1009.9395683647938,766.3338678589926,309.62323059161923,240.47581837383342,idle,,,0,0,0
45,2,0,0,0.0,5.0,0,0,1009.8683894079574,766.2870494722066,309.62208326856006,240.48158579199605,idle,,,0,0,0
46,2,0,0,0.0,5.0,0,0,1009.7972175690165,766.2402357672594,309.6209360602332,240.48735263341686,idle,,,0,0,0
47,2,0,0,0.0,5.0,0,0,1009.7260528472597,766.1934267436826,309.61978896662714,240.49311889815354,idle,,,0,0,0
48,3,0,0,0.0,5.0,0,0,1009.6548952419749,766.1466224010082,309.6186419877305,240.49888458626373,idle,,,0,0,0
49,3,0,0,0.0,5.0,0,0,1009.5837447524507,766.0998227387681,309.6174951235317,240.50464969780512,idle,,,0,0,0
50,3,0,0,0.0,5.0,0,0,1009.5126013779754,766.0530277564942,309.6163483740193,240.51041423283536,idle,,,0,0,0
51,3,0,0,0.0,5.0,0,0,1009.4414651178377,766.0062374537185,309.6152017391819,240.51617819141208,idle,,,0,0,0
52,3,0,0,0.0,5.0,0,0,1009.3703359713259,765.9594518299732,309.614055219008,240.52194157359295,idle,,,0,0,0
53,3,0,0,0.0,5.0,0,0,1009.2992139377287,765.9126708847901,309.61290881348606,240.52770437943562,idle,,,0,0,0
54,3,0,0,0.0,5.0,0,0,1009.2280990163349,765.8658946177017,309.6117625226047,240.53346660899768,idle,,,0,0,0
55,3,0,0,0.0,5.0,0,0,1009.1569912064333,765.8191230282399,309.6106163463524,240.5392282623368,idle,,,0,0,0
56,3,0,0,0.0,5.0,0,0,1009.0858905073127,765.7723561159371,309.60947028471776,240.54498933951058,idle,,,0,0,0
57,3,0,0,0.0,5.0,0,0,1009.0147969182619,765.7255938803255,309.6083243376893,240.55074984057666,idle,,,0,0,0
58,3,0,0,0.0,5.0,0,0,1008.9437104385701,765.6788363209374,309.6071785052555,240.5565097655926,idle,,,0,0,0
59,3,0,0,0.0,5.0,0,0,1008.8726310675262,765.6320834373054,309.60603278740496,240.56226911461607,idle,,,0,0,0
60,3,0,0,0.0,5.0,0,0,1008.8015588044194,765.5853352289616,309.6048871841262,240.56802788770463,idle,,,0,0,0
61,3,0,0,0.0,5.0,0,0,1008.730493648539,765.5385916954388,309.6037416954078,240.57378608491587,idle,,,0,0,0
62,3,0,0,0.0,5.0,0,0,1008.6594355991741,765.4918528362692,309.60259632123825,240.5795437063074,idle,,,0,0,0
63,3,0,0,0.0,5.0,0,0,1008.5883846556142,765.4451186509856,309.6014510616061,240.58530075193678,idle,,,0,0,0
64,3,0,0,0.0,5.0,0,0,1008.5173408171486,765.3983891391205,309.6003059164999,240.5910572218616,idle,,,0,0,0
65,3,0,0,0.0,5.0,0,0,1008.4463040830668,765.3516643002065,309.59916088590825,240.59681311613943,idle,,,0,0,0
66,3,0,0,0.0,5.0,0,0,1008.3752744526585,765.3049441337764,309.59801596981964,240.60256843482784,idle,,,0,0,0
67,3,0,0,0.0,5.0,0,0,1008.3042519252132,765.258228639363,309.59687116822266,240.60832317798437,idle,,,0,0,0
68,3,0,0,0.0,5.0,0,0,1008.2332365000207,765.211517816499,309.5957264811058,240.6140773456666,idle,,,0,0,0
69,3,0,0,0.0,5.0,0,0,1008.1622281763706,765.1648116647174,309.5945819084577,240.61983093793205,idle,,,0,0,0
70,3,0,0,0.0,5.0,0,0,1008.091226953553,765.1181101835509,309.59343745026683,240.62558395483828,idle,,,0,0,0
71,3,0,0,0.0,5.0,0,0,1008.0202328308577,765.0714133725326,309.5922931065218,240.6313363964428,idle,,,0,0,0
