hour,day,total_cost,marginal_price,cost_NGCC 1,cost_NGCC 2,cost_NGCT 1,cost_NGCT 2,cost_Coal,cost_Hydro,cost_Wind,cost_PV
0,1,19919.15378685535,40.376104882,2519.1537868553505,0,0,0,16800.0,600.0,0.0,0
1,1,17655.65098783433,40.038329284,255.65098783433186,0,0,0,16800.0,600.0,0.0,0
2,1,16234.859516236631,30.62184172,0.0,0,0,0,15634.859516236631,600.0,0.0,0
3,1,16042.500744516405,30.55895965,0.0,0,0,0,15442.500744516405,600.0,0.0,0
4,1,16470.38647397196,30.69866006,0.0,0,0,0,15870.386473971961,600.0,0.0,0
5,1,10379.698089777554,28.646011272000003,0.0,0,0,0,9779.698089777554,600.0,0.0,0.0
6,1,565.0851433499997,1.5,0.0,0,0,0,0.0,565.0851433499997,0.0,0.0
7,1,327.6225491999994,1.5,0.0,0,0,0,0.0,327.6225491999994,0.0,0.0
8,1,73.01041994999991,1.5,0.0,0,0,0,0.0,73.01041994999991,0.0,0.0
9,1,91.95792825000012,1.5,0.0,0,0,0,0.0,91.95792825000012,0.0,0.0
10,1,150.92114685000024,1.5,0.0,0,0,0,0.0,150.92114685000024,0.0,0.0
11,1,110.49701910000044,1.5,0.0,0,0,0,0.0,110.49701910000044,0.0,0.0
12,1,63.875344050000194,1.5,0.0,0,0,0,0.0,63.875344050000194,0.0,0.0
13,1,233.7406143000003,1.5,0.0,0,0,0,0.0,233.7406143000003,0.0,0.0
14,1,92.87693745000001,1.5,0.0,0,0,0,0.0,92.87693745000001,0.0,0.0
15,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
16,1,7081.582104998921,27.470559552,0.0,0,0,0,6481.582104998921,600.0,0.0,0.0
17,1,22835.466613953504,40.8071758318,5435.466613953503,0,0,0,16800.0,600.0,0.0,0.0
18,1,18583.577611242366,40.17714439,1183.5776112423662,0,0,0,16800.0,600.0,0.0,0
19,1,19766.995135786496,40.353487354,2366.9951357864957,0,0,0,16800.0,600.0,0.0,0
20,1,18962.41334617797,40.233679426,1562.413346177972,0,0,0,16800.0,600.0,0.0,0
21,1,15660.340473099453,30.433646010000004,0.0,0,0,0,15060.340473099453,600.0,0.0,0
22,1,11149.459346285092,28.9134776,0.0,0,0,0,10549.459346285092,600.0,0.0,0
23,1,7022.45504070532,27.44902732,0.0,0,0,0,6422.45504070532,600.0,0.0,0
24,2,3760.3607008393165,26.23370378,0.0,0,0,0,3160.3607008393165,600.0,0.0,0
25,2,2648.07856642383,25.80623125,0.0,0,0,0,2048.07856642383,600.0,0.0,0
26,2,3270.9756325222797,26.04648753,0.0,0,0,0,2670.9756325222797,600.0,0.0,0
27,2,3728.1961507801575,26.22144014,0.0,0,0,0,3128.1961507801575,600.0,0.0,0
28,2,5755.041321949615,26.9833435,0.0,0,0,0,5155.041321949615,600.0,0.0,0
29,2,3252.9733090312493,26.039575,0.0,0,0,0,2652.9733090312493,600.0,0.0,0.0
30,2,134.76716955000052,1.5,0.0,0,0,0,0.0,134.76716955000052,0.0,0.0
31,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
32,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
33,2,112.36969065000017,1.5,0.0,0,0,0,0.0,112.36969065000017,0.0,0.0
34,2,200.24007420000044,1.5,0.0,0,0,0,0.0,200.24007420000044,0.0,0.0
35,2,279.4917099000004,1.5,0.0,0,0,0,0.0,279.4917099000004,0.0,0.0
36,2,216.9597536999995,1.5,0.0,0,0,0,0.0,216.9597536999995,0.0,0.0
37,2,105.19887570000037,1.5,0.0,0,0,0,0.0,105.19887570000037,0.0,0.0
38,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
39,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
40,2,7361.839109165309,27.572391665999998,0.0,0,0,0,6761.839109165309,600.0,0.0,0.0
41,2,30011.800139176376,41.8490334616,12611.800139176374,0,0,0,16800.0,600.0,0.0,0.0
42,2,28460.146464187943,41.625974553999995,11060.146464187945,0,0,0,16800.0,600.0,0.0,0
43,2,27846.704457381456,41.537458438,10446.704457381455,0,0,0,16800.0,600.0,0.0,0
44,2,25382.222120230665,41.179930372,7982.222120230664,0,0,0,16800.0,600.0,0.0,0
45,2,17102.054085391104,30.903738960000002,0.0,0,0,0,16502.054085391104,600.0,0.0,0
46,2,11133.923843740797,28.908103999999998,0.0,0,0,0,10533.923843740797,600.0,0.0,0
47,2,6501.3911785208775,27.258536709999998,0.0,0,0,0,5901.3911785208775,600.0,0.0,0
48,3,2801.793782916097,25.86572782,0.0,0,0,0,2201.793782916097,600.0,0.0,0
49,3,1118.19475286175,25.20642567,0.0,0,0,0,518.19475286175,600.0,0.0,0
50,3,1541.5863202234586,25.373839410000002,0.0,0,0,0,941.5863202234586,600.0,0.0,0
51,3,2052.6497542397206,25.57445982,0.0,0,0,0,1452.6497542397206,600.0,0.0,0
52,3,4747.302022648711,26.60725541,0.0,0,0,0,4147.302022648711,600.0,0.0,0
53,3,5072.994724896766,26.729382605999998,0.0,0,0,0,4472.994724896766,600.0,0.0,0.0
54,3,122.36645969999972,1.5,0.0,0,0,0,0.0,122.36645969999972,0.0,0.0
55,3,127.17141390000052,1.5,0.0,0,0,0,0.0,127.17141390000052,0.0,0.0
56,3,82.88468294999961,1.5,0.0,0,0,0,0.0,82.88468294999961,0.0,0.0
57,3,12.475363649999963,1.5,0.0,0,0,0,0.0,12.475363649999963,0.0,0.0
58,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
59,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
60,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
61,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
62,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
63,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
64,3,3339.2153413524907,26.072673565,0.0,0,0,0,2739.2153413524907,600.0,0.0,0.0
65,3,29749.82938489967,41.8114571932,12349.829384899671,0,0,0,16800.0,600.0,0.0,0.0
66,3,27221.102975428654,41.446993084,9821.102975428654,0,0,0,16800.0,600.0,0.0,0
67,3,29608.825313528123,41.791218021999995,12208.825313528123,0,0,0,16800.0,600.0,0.0,0
68,3,30980.154722842773,41.987639332,13580.154722842775,0,0,0,16800.0,600.0,0.0,0
69,3,31968.47524544601,42.128632816,14568.475245446009,0,0,0,16800.0,600.0,0.0,0
70,3,28423.571370757192,41.620702258,11023.57137075719,0,0,0,16800.0,600.0,0.0,0
71,3,24847.74074838497,41.10198157,7447.740748384971,0,0,0,16800.0,600.0,0.0,0
72,4,22750.06702028213,40.794617344,5350.067020282131,0,0,0,16800.0,600.0,0.0,0
73,4,22024.036526488628,40.687693942,4624.036526488629,0,0,0,16800.0,600.0,0.0,0
74,4,23099.595455260063,40.845993016,5699.595455260062,0,0,0,16800.0,600.0,0.0,0
75,4,24295.340339780047,41.021263804,6895.340339780047,0,0,0,16800.0,600.0,0.0,0
76,4,26977.63570056831,41.411732980000004,9577.635700568308,0,0,0,16800.0,600.0,0.0,0
77,4,19663.6393579228,40.338116866,2263.6393579227997,0,0,0,16800.0,600.0,0.0,0.0
78,4,6041.119582319432,27.089156348,0.0,0,0,0,5441.119582319432,600.0,0.0,0.0
79,4,2768.374661236477,25.852804359000004,0.0,0,0,0,2168.374661236477,600.0,0.0,0.0
80,4,2178.6140427341484,25.623666421,0.0,0,0,0,1578.6140427341484,600.0,0.0,0.0
81,4,4022.519269880667,26.333446136,0.0,0,0,0,3422.519269880667,600.0,0.0,0.0
82,4,5070.25222527042,26.728356562,0.0,0,0,0,4470.25222527042,600.0,0.0,0.0
83,4,5309.893197831691,26.817864642,0.0,0,0,0,4709.893197831691,600.0,0.0,0.0
84,4,5244.061814088319,26.793305811,0.0,0,0,0,4644.061814088319,600.0,0.0,0.0
85,4,4956.2383464066415,26.685665945,0.0,0,0,0,4356.2383464066415,600.0,0.0,0.0
86,4,6889.850988717378,27.400675535,0.0,0,0,0,6289.850988717378,600.0,0.0,0.0
87,4,5063.251877130136,26.725737362,0.0,0,0,0,4463.251877130136,600.0,0.0,0.0
88,4,40782.06802196687,45.3495845214,20750.0,2632.0680219668693,0,0,16800.0,600.0,0.0,0.0
89,4,99691.3252763274,83.51264819679997,20750.0,18480.0,25112.5,17948.825276327403,16800.0,600.0,0.0,0.0
90,4,87202.79583345025,81.084705504,20750.0,18480.0,25112.5,5460.295833450249,16800.0,600.0,0.0,0
91,4,89097.07036157203,81.457634704,20750.0,18480.0,25112.5,7354.570361572023,16800.0,600.0,0.0,0
92,4,84876.54976851805,80.62437344,20750.0,18480.0,25112.5,3134.0497685180485,16800.0,600.0,0.0,0
93,4,70767.47220340912,71.99131505999999,20750.0,18480.0,14137.472203409123,0,16800.0,600.0,0.0,0
94,4,56587.03137936941,47.394560622,20750.0,18437.03137936941,0,0,16800.0,600.0,0.0,0
95,4,45275.31728337751,45.940219932,20750.0,7125.317283377508,0,0,16800.0,600.0,0.0,0
96,5,37578.070046859444,42.920121628,20178.070046859444,0,0,0,16800.0,600.0,0.0,0
97,5,32780.9696302219,42.244190554,15380.969630221902,0,0,0,16800.0,600.0,0.0,0
98,5,29792.739411349514,41.817614386,12392.739411349514,0,0,0,16800.0,600.0,0.0,0
99,5,26565.870912777697,41.352030796,9165.870912777697,0,0,0,16800.0,600.0,0.0,0
100,5,22958.940537035265,40.825326532,5558.940537035264,0,0,0,16800.0,600.0,0.0,0
101,5,15282.644419490758,30.309287164,0.0,0,0,0,14682.644419490758,600.0,0.0,0.0
102,5,3025.325682013612,25.952004039,0.0,0,0,0,2425.325682013612,600.0,0.0,0.0
103,5,433.6264363500004,1.5,0.0,0,0,0,0.0,433.6264363500004,0.0,0.0
104,5,520.0992377999994,1.5,0.0,0,0,0,0.0,520.0992377999994,0.0,0.0
105,5,551.4615252000001,1.5,0.0,0,0,0,0.0,551.4615252000001,0.0,0.0
106,5,512.0744491500002,1.5,0.0,0,0,0,0.0,512.0744491500002,0.0,0.0
107,5,579.8660962499996,1.5,0.0,0,0,0,0.0,579.8660962499996,0.0,0.0
108,5,1036.8595331068732,25.174137337,0.0,0,0,0,436.85953310687313,600.0,0.0,0.0
109,5,1282.748671554983,25.271623878,0.0,0,0,0,682.748671554983,600.0,0.0,0.0
110,5,2070.5779505961327,25.581469055,0.0,0,0,0,1470.5779505961327,600.0,0.0,0.0
111,5,4317.105519411825,26.445077243,0.0,0,0,0,3717.1055194118258,600.0,0.0,0.0
112,5,43149.75627167662,45.6617682012,20750.0,4999.756271676617,0,0,16800.0,600.0,0.0,0.0
113,5,98292.92091991544,83.2442999216,20750.0,18480.0,25112.500000000025,16550.420919915414,16800.0,600.0,0.0,0.0
114,5,96287.67027841638,82.857983616,20750.0,18480.0,25112.5,14545.17027841638,16800.0,600.0000000000001,0.0,0
115,5,96284.91252500977,82.857451088,20750.0,18480.0,25112.5,14542.41252500977,16800.0,600.0,0.0,0
116,5,86202.34528884485,80.88705118399997,20750.0,18480.0,25112.5000000001,4459.845288844754,16800.0,599.9999999999999,0.0,0
117,5,70340.55711004531,71.9319897,20750.0,18480.0,13710.557110045303,0,16800.0,600.0,0.0,0
118,5,54224.51268075554,47.09452359,20750.0,16074.51268075554,0,0,16800.0,600.0,0.0,0
119,5,40934.271609590665,45.369717426,20750.0,2784.2716095906676,0,0,16800.0,600.0,0.0,0
120,6,31519.762700506064,42.064678204,14119.762700506062,0,0,0,16800.0,600.0,0.0,0
121,6,25020.860777220627,41.127245584,7620.860777220627,0,0,0,16800.0,600.0,0.0,0
122,6,20809.10629161056,40.508138386,3409.1062916105593,0,0,0,16800.0,600.0,0.0,0
123,6,16716.715330075058,30.778796380000003,0.0,0,0,0,16116.71533007506,600.0,0.0,0
124,6,15795.050449037903,30.477877369999998,0.0,0,0,0,15195.050449037903,600.0,0.0,0
125,6,10659.578463842132,28.743548307,0.0,0,0,0,10059.578463842132,600.0,0.0,0.0
126,6,2883.3675010977254,25.897245993,0.0,0,0,0,2283.3675010977254,600.0,0.0,0.0
127,6,459.92963355000074,1.5,0.0,0,0,0,0.0,459.92963355000074,0.0,0.0
128,6,390.25530690000005,1.5,0.0,0,0,0,0.0,390.25530690000005,0.0,0.0
129,6,553.3898824500002,1.5,0.0,0,0,0,0.0,553.3898824500002,0.0,0.0
130,6,715.4244861135027,25.04612724,0.0,0,0,0,115.42448611350267,600.0,0.0,0.0
131,6,1422.1418693931118,25.326721804999995,0.0,0,0,0,822.141869393112,600.0,0.0,0.0
132,6,1082.1056306449916,25.192104172,0.0,0,0,0,482.1056306449916,600.0,0.0,0.0
133,6,1162.5876452280518,25.224031258,0.0,0,0,0,562.5876452280517,600.0,0.0,0.0
134,6,846.2177391653335,25.098293861999995,0.0,0,0,0,246.21773916533346,600.0,0.0,0.0
135,6,4392.911526816684,26.473727175000004,0.0,0,0,0,3792.911526816684,600.0,0.0,0.0
136,6,44485.69731495775,45.8369759886,20750.0,6335.697314957753,0,0,16800.0,600.0,0.0,0.0
137,6,101451.662345019,83.84922894721876,20749.999999997042,18479.999999996642,25112.49999992979,19709.162345097113,16799.999999998454,599.9999999999586,0.0,0.0
138,6,96085.7627379843,82.818985792,20750.0,18480.0,25112.5,14343.262737984305,16800.0,600.0,0.0,0
139,6,95373.23314743949,82.681215888,20750.0,18480.0,25112.5,13630.733147439487,16800.0,600.0000000000001,0.0,0
140,6,89607.32945285726,81.55779878399998,20750.0,18480.0,25112.5000000001,7864.829452857151,16800.0,600.0000000000001,0.0,0
141,6,75919.69587603648,72.70346565,20750.0,18480.0,19289.695876036483,0,16800.0,600.0000000000001,0.0,0
