hour,day,total_cost,marginal_price,cost_NGCC 1,cost_NGCC 2,cost_NGCT 1,cost_NGCT 2,cost_Coal,cost_Hydro,cost_Wind,cost_PV
0,1,12768.14860692808,29.467999120038023,0,0,0,0,12168.14860692808,600.0,0.0,0
1,1,11174.001602983713,28.921964526284764,0,0,0,0,10574.001602983713,600.0,0.0,0
2,1,10370.1966652324,28.642694239625015,0,0,0,0,9770.1966652324,600.0,0.0,0
3,1,10368.309636865783,28.642035415405026,0,0,0,0,9768.309636865783,600.0,0.0,0
4,1,10329.313002549983,28.628417002185078,0,0,0,0,9729.313002549983,600.0,0.0,0
5,1,10379.698089777554,28.646011272000003,0,0,0,0,9779.698089777554,600.0,0.0,0.0
6,1,616.0024497874568,25.00640016067385,0,0,0,0,16.00244978745688,600.0,0.0,0.0
7,1,599.967717157147,1.5,0,0,0,0,0.0,599.967717157147,0.0,0.0
8,1,602.3949109859936,25.000957946041186,0,0,0,0,2.394910985993631,600.0,0.0,0.0
9,1,599.7868697852675,1.5,0,0,0,0,0.0,599.7868697852675,0.0,0.0
10,1,600.4647709997796,25.00018590770868,0,0,0,0,0.46477099977959363,600.0,0.0,0.0
11,1,599.9384926024334,1.5,0,0,0,0,0.0,599.9384926024334,0.0,0.0
12,1,600.3312522387528,25.000132500544375,0,0,0,0,0.33125223875275106,600.0,0.0,0.0
13,1,602.2470203183701,25.00089879197081,0,0,0,0,2.247020318370105,600.0,0.0,0.0
14,1,600.2129279242454,25.000085171024615,0,0,0,0,0.21292792424542653,600.0,0.0,0.0
15,1,474.1611082382154,1.5,0,0,0,0,0.0,474.1611082382154,0.0,0.0
16,1,1380.7522594446564,25.31037426015058,0,0,0,0,780.7522594446565,600.0,0.0,0.0
17,1,14533.279365807759,30.061031042134186,0,0,0,0,13933.279365807759,600.0,0.0,0.0
18,1,11479.096561909604,29.027261862569677,0,0,0,0,10879.096561909604,600.0,0.0,0
19,1,12321.699375268168,29.316104575904408,0,0,0,0,11721.699375268168,600.0,0.0,0
20,1,11748.894297871271,29.120059854976695,0,0,0,0,11148.894297871271,600.0,0.0,0
21,1,9059.05871692675,28.181220242184953,0,0,0,0,8459.05871692675,600.0,0.0,0
22,1,4971.249953056007,26.69129069680071,0,0,0,0,4371.249953056007,600.0,0.0,0
23,1,1359.8630956000184,25.30211971183443,0,0,0,0,759.8630956000183,600.0,0.0,0
24,2,2894.954481985349,25.901719820114398,0,0,0,0,2294.954481985349,600.0,0.0,0
25,2,2648.07856642383,25.80623125,0,0,0,0,2048.07856642383,600.0,0.0,0
26,2,3270.9756325222797,26.04648753,0,0,0,0,2670.9756325222797,600.0,0.0,0
27,2,2902.6539446451848,25.904692217683337,0,0,0,0,2302.6539446451848,600.0,0.0,0
28,2,3083.2711601916167,25.9743223819955,0,0,0,0,2483.2711601916167,600.0,0.0,0
29,2,3252.97330903125,26.039575,0,0,0,0,2652.97330903125,600.0,0.0,0.0
30,2,461.2109732843236,1.5,0,0,0,0,0.0,461.2109732843236,0.0,0.0
31,2,476.3178990922162,1.5,0,0,0,0,0.0,476.3178990922162,0.0,0.0
32,2,460.7069421450529,1.5,0,0,0,0,0.0,460.7069421450529,0.0,0.0
33,2,599.9917039767408,1.5,0,0,0,0,0.0,599.9917039767408,0.0,0.0
34,2,599.8935164807378,1.5,0,0,0,0,0.0,599.8935164807378,0.0,0.0
35,2,601.8307872046838,25.000732304156486,0,0,0,0,1.830787204683761,600.0,0.0,0.0
36,2,599.8689159826974,1.5,0,0,0,0,0.0,599.8689159826974,0.0,0.0
37,2,599.8803467193804,1.5,0,0,0,0,0.0,599.8803467193804,0.0,0.0
38,2,506.2944633537895,1.5,0,0,0,0,0.0,506.2944633537895,0.0,0.0
39,2,452.96857190963715,1.5,0,0,0,0,0.0,452.96857190963715,0.0,0.0
40,2,1511.958794994634,25.362160316106603,0,0,0,0,911.958794994634,600.0,0.0,0.0
41,2,20106.559602542686,40.4039443028835,2706.559602542685,0,0,0,16800.0,600.0,0.0,0.0
42,2,18612.424975709844,40.181452185162726,1212.4249757098448,0,0,0,16800.0,600.0,0.0,0
43,2,18022.82390381854,40.09331474006387,622.8239038185367,0,0,0,16800.0,600.0,0.0,0
44,2,16283.763557177826,30.63780787105299,0,0,0,0,15683.763557177826,600.0,0.0,0
45,2,10271.045006580493,28.60805655985058,0,0,0,0,9671.045006580493,600.0,0.0,0
46,2,4870.613643366551,26.653560228744883,0,0,0,0,4270.613643366551,600.0,0.0,0
47,2,1420.0087256859524,25.325879540772497,0,0,0,0,820.0087256859524,600.0,0.0,0
48,3,2035.6792403490322,25.56782323169066,0,0,0,0,1435.6792403490322,600.0,0.0,0
49,3,1118.19475286175,25.20642567,0,0,0,0,518.19475286175,600.0,0.0,0
50,3,1541.5863202234586,25.373839410000002,0,0,0,0,941.5863202234586,600.0,0.0,0
51,3,2052.6497542397206,25.57445982,0,0,0,0,1452.6497542397206,600.0,0.0,0
52,3,2276.803583962013,25.661957674332648,0,0,0,0,1676.803583962013,600.0,0.0,0
53,3,2272.623808864648,25.66032884000696,0,0,0,0,1672.6238088646476,600.0,0.0,0.0
54,3,471.84395797885406,1.5,0,0,0,0,0.0,471.84395797885406,0.0,0.0
55,3,599.7514339857075,1.5,0,0,0,0,0.0,599.7514339857075,0.0,0.0
56,3,82.88468294999961,1.5,0,0,0,0,0.0,82.88468294999961,0.0,0.0
57,3,558.4273246855109,1.5,0,0,0,0,0.0,558.4273246855109,0.0,0.0
58,3,495.6581595894029,1.5,0,0,0,0,0.0,495.6581595894029,0.0,0.0
59,3,472.1422866946958,1.5,0,0,0,0,0.0,472.1422866946958,0.0,0.0
60,3,503.38400367871606,1.5,0,0,0,0,0.0,503.38400367871606,0.0,0.0
61,3,440.8241594198282,1.5,0,0,0,0,0.0,440.8241594198282,0.0,0.0
62,3,295.4132311108556,1.5,0,0,0,0,0.0,295.4132311108556,0.0,0.0
63,3,232.4656487529871,1.5,0,0,0,0,0.0,232.4656487529871,0.0,0.0
64,3,3339.2153413524907,26.072673565,0,0,0,0,2739.2153413524907,600.0,0.0,0.0
65,3,23914.149858836143,40.96547080537503,6514.149858836144,0,0,0,16800.0,600.0,0.0,0.0
66,3,23554.521583200745,40.91276401073886,6154.521583200744,0,0,0,16800.0,600.0,0.0,0
67,3,23901.336709195817,40.963594086827264,6501.336709195817,0,0,0,16800.0,600.0,0.0,0
68,3,24079.7617274936,40.98971993963759,6679.761727493599,0,0,0,16800.0,600.0,0.0,0
69,3,24223.918442682407,41.010815906443376,6823.918442682405,0,0,0,16800.0,600.0,0.0,0
70,3,23755.001843223756,40.94215458569181,6355.001843223757,0,0,0,16800.0,600.0,0.0,0
71,3,23124.335056214877,40.84962693433783,5724.335056214876,0,0,0,16800.0,600.0,0.0,0
72,4,22750.067020282127,40.794617344,5350.0670202821275,0,0,0,16800.0,600.0,0.0,0
