hour,day,charge_power,discharge_power,profit,mass_norm,charge_m_norm,discharge_m_norm,t_hh,t_lh,t_hc,t_lc,mode,eff_com,eff_exp,power_milp,power_physical,power_mismatch
0,1,0,200.00000000000003,5925.368293999998,4.0,0,1.0,1013.0785,768.3985190132543,309.6738265655744,240.2214801237557,dis,0.87,0.93,200.0,200.00000000000003,2.842170943040401e-14
1,1,0,199.97295393054395,5812.044449048991,3.0,0,1.0,1013.0070071499999,768.3505269800818,309.6728165667494,240.22727297574335,dis,0.87,0.93,200.0,199.97295393054395,-0.02704606945604837
2,1,0,199.945910565695,5722.928354384536,2.0,0,1.0,1012.9355214492849,768.3019353303567,309.67189564814026,240.2330652484458,dis,0.87,0.93,200.0,199.945910565695,-0.054089434305012674
3,1,0,199.91886990518242,5709.637133264414,1.0,0,1.0,1012.8640428971399,768.252945653716,309.67103413259764,240.23885694192097,dis,0.87,0.93,200.0,199.91886990518242,-0.08113009481758127
4,1,0,199.89183194873587,5736.843952966671,0.0,0,1.0,1012.7925714928502,768.2059353591507,309.66988202918435,240.2446480562268,dis,0.87,0.93,200.0,199.89183194873587,-0.10816805126412987
5,1,0,0.0,0.0,0.0,0,0.0,1012.721107235701,768.1589297656147,309.6687300409814,240.2504385914212,idle,,,0.0,0.0,0.0
6,1,28.482632633435376,0.0,-713.5486392171229,0.1,0.1,0.0,1019.533702263267,768.1119288726381,309.6675781679773,237.67814081358267,char,0.8699086769685644,0.9299694079585449,-28.509148976299944,-28.482632633435376,0.026516342864567832
7,1,181.6711064263379,0.0,-272.50665963950684,0.7369357687630611,0.6369357687630611,0.0,1015.5566025078865,768.0649326797509,309.6664264101605,239.19195231623843,char,0.8699953336585678,0.9299989515193988,-181.58496720000247,-181.6711064263379,-0.08613922633543325
8,1,284.9074952180778,0.0,-427.3612428271167,1.736935768763061,1.0,0.0,1013.8128476438978,768.0179411864829,309.66527476751946,239.78635487073421,char,0.87,0.93,-285.0914897629995,-284.9074952180778,0.18399454492168843
9,1,284.884780697651,0.0,-427.32717104647656,2.736935768763061,1.0,0.0,1013.294772884694,767.9709543923642,309.6641232400427,239.94844962168574,char,0.87,0.93,-285.0914897629995,-284.884780697651,0.2067090653484911
10,1,284.86206844867604,0.0,-427.29310267301406,3.736935768763061,1.0,0.0,1013.018411390795,767.923972296925,309.6629718277187,240.02529173644328,char,0.87,0.93,-285.0914897629995,-284.86206844867604,0.22942131432347423
11,1,284.83935847092613,0.0,-427.2590377063892,4.736935768763061,1.0,0.0,1012.8306852237934,767.8769948996952,309.6618205305359,240.07087336923726,char,0.87,0.93,-285.0914897629995,-284.83935847092613,0.25213129207338625
12,1,284.8166507641737,0.0,-427.22497614626053,5.736935768763061,1.0,0.0,1012.6852479437251,767.8300222002052,309.6606693484828,240.10154138322736,char,0.87,0.93,-285.0914897629995,-284.8166507641737,0.2748389988258282
13,1,243.90914825629736,0.0,-365.863722384446,6.593407927938997,0.8564721591759354,0.0,1012.667119635363,767.7830541979852,309.65951828154795,240.0862183981361,char,0.87,0.93,-244.1729238000003,-243.90914825629736,0.2637755437029341
14,1,284.7712421627543,0.0,-427.1568632441314,7.593407927938997,1.0,0.0,1012.5451398162438,767.7360908925654,309.6583673297198,240.1087373240498,char,0.87,0.93,-285.0914897629995,-284.7712421627543,0.3202476002452386
15,1,284.74854126763296,0.0,-427.12281190144944,8.593407927938998,1.0,0.0,1012.4360970290772,767.689132283476,309.65721649298683,240.12666731337555,char,0.87,0.93,-285.0914897629995,-284.74854126763296,0.34294849536655647
16,1,0,156.1954198136263,4046.8054900323127,7.81525399555122,0,0.7781539323877777,1012.3646684193743,767.8516299629528,309.1690229440612,240.13246964664424,dis,0.8699996391741882,0.9299975862538469,155.63078647755555,156.1954198136263,0.5646333360707558
17,1,0,199.78514578055857,6062.968043162899,6.81525399555122,0,1.0,1012.2932469525324,767.8054754445982,309.3192002530604,240.13827139967958,dis,0.87,0.93,200.0,199.78514578055857,-0.21485421944143468
18,1,0,199.75812119652466,5852.445404797446,5.81525399555122,0,1.0,1012.2218326278371,767.7573178364797,309.39729251042206,240.14407257253964,dis,0.87,0.93,200.0,199.75812119652466,-0.24187880347534474
19,1,0,199.7310993149489,5910.409654775086,4.81525399555122,0,1.0,1012.1504254445744,767.7083191457685,309.4450096283303,240.1498731652824,dis,0.87,0.93,200.0,199.7310993149489,-0.26890068505110776
20,1,0,199.7040801355615,5869.787179334388,3.8152539955512204,0,1.0,1012.0790254020299,767.6588898482447,309.47708552858376,240.1556731779659,dis,0.87,0.93,200.0,199.7040801355615,-0.2959198644385026
21,1,0,199.6845093961601,5678.388639715401,2.8152539955512204,0,1.0,1012.0076324994897,767.6075634474906,309.5001077877718,240.1614726106481,dis,0.8699992691660591,0.9299999189049598,200.0,199.6845093961601,-0.3154906038398906
22,1,0,199.6522169255998,5374.029824635599,1.8152539955512204,0,1.0,1011.9362467362397,767.5574910674683,309.5173115465402,240.16727146338707,dis,0.8699992358832748,0.9299999110205251,200.0,199.6522169255998,-0.34778307440021194
23,1,0,153.89600816023935,3987.455919152788,1.0478661791634423,0,0.767387816387778,1011.864868111566,767.5467443132741,309.4045923865667,240.17306973624073,dis,0.8699995164016553,0.9299982358432151,153.4775632775556,153.89600816023935,0.4184448826837581
24,2,0,39.40680845189888,1018.2575743186692,0.854806799442295,0,0.19305937972114728,1011.7934966247549,767.534497522156,309.266620854959,240.17886742926711,dis,0.8699974664230519,0.9299611998567867,38.61187594422945,39.40680845189888,0.7949325076694294
25,2,0,0.0,0.0,0.854806799442295,0,0.0,1011.7221322750923,767.4875590724038,309.2655091928735,240.18466454252422,idle,,,0.0,0.0,0.0
26,2,0,20.5261285816675,530.4203325960676,0.754806799442295,0,0.1,1011.6507750618648,767.460008280229,309.1791705622133,240.19046107607,dis,0.8699937794252774,0.9299424772116149,20.0,20.5261285816675,0.5261285816674999
