day,date,total_demand,total_cost,ptes_charge_energy,ptes_discharge_energy,ptes_charge_hours,ptes_discharge_hours,ptes_idle_hours,avg_charge_price,avg_discharge_price,ptes_final_mass,ptes_final_t_hh,ptes_final_t_lh,ptes_final_t_hc,ptes_final_t_lc
1,2025/5/3,52719.64531,146159.0256,2447.893024,2508.136167,10,13,1,1.774041669,28.58262373,1.047866179,1011.864868,767.5467443,309.4045924,240.1730697
2,2025/5/4,57135.8776,121070.4807,2733.24593,1798.545323,10,12,2,7.829825421,31.6662148,1.638352174,1011.342718,766.9789978,309.5538788,240.0411385
3,2025/5/5,54275.73468,166964.2856,2853.877998,1586.002799,10,11,3,1.5,37.45966465,3.712630568,1010.732983,766.7189155,309.1582421,240.0669998
4,2025/5/6,56047.97556,706959.6133,1998.387465,1744.003948,10,10,4,28.59751617,57.87423791,2,1011.124709,766.517436,309.5762913,239.6953125
5,2025/5/7,57205.51579,709602.9965,2721.988583,1997.573599,10,11,3,27.76615854,55.95606197,1.534837107,1010.533963,766.3012234,309.5897543,239.9710561
6,2025/5/8,57904.12978,695852.7421,2775.173,1846.106991,10,10,4,27.8135809,60.04811264,2,1010.249629,766.1598347,309.5972954,239.9827747
7,2025/5/9,55066.78829,448207.9634,2855.301273,1396.528345,10,8,6,6.575801568,44.13514816,5,1010.052216,766.045974,309.5974175,240.0125395
Total,,390355.667,2994817.107,18385.86727,12876.89717,70,75,23,14.0714492,44.51801064,5,1010.052216,766.045974,309.5974175,240.0125395
