day,date,total_demand,total_cost,ptes_charge_energy,ptes_discharge_energy,ptes_charge_hours,ptes_discharge_hours,ptes_idle_hours,avg_charge_price,avg_discharge_price,ptes_final_mass,ptes_final_t_hh,ptes_final_t_lh,ptes_final_t_hc,ptes_final_t_lc
1,2025/6/5,52719.64531,139761.1004,2772.085712,2752.343344,10,13,1,5.398552646,28.39883084,0.831850614,1012.207727,767.8414002,309.2705496,240.074766
2,2025/6/6,57135.8776,114456.2857,2852.880285,1986.717715,10,10,4,12.9630055,31.89898326,0.906300849,1011.961308,767.4083891,309.3323192,239.9208997
3,2025/6/7,54275.73468,171646.3591,2853.398329,1428.563678,9,10,5,1.5,38.38135728,3.346285339,1011.246586,767.3066633,308.261431,240.0206716
4,2025/6/8,56047.97556,688422.5644,1981.186131,2054.201075,10,11,3,28.58627981,56.97145547,0.570635477,1012.089748,767.0450063,309.4838366,239.4936025
5,2025/6/9,57205.51579,706679.9935,2854.084239,2032.055095,10,10,4,27.90501634,57.36322471,0.443449994,1011.426113,766.86451,309.5984502,239.8385751
6,2025/6/10,57904.12978,685102.3095,2854.45489,2000.426591,10,9,5,27.88314248,61.35570969,0.443449994,1011.281722,766.7564118,309.5954432,239.8327132
7,2025/6/11,55066.78829,451740.1892,2854.527119,1105.475237,9,6,9,11.50317613,45.37175355,4.221724997,1010.799817,766.6219064,309.2665671,239.9663804
Total,,390355.667,2957808.802,19022.6167,13359.78274,68,69,31,16.03000075,45.12489719,4.221724997,1010.799817,766.6219064,309.2665671,239.9663804
