mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_ex,eff_com,eff_exp,mass_norm,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error,n,p_exp,alpha_com,alpha_exp,day,date,hour,global_hour,hour_of_day
char,1.0989241119474038,1.0412170595067913,-334.1196047318016,1012.969192674673,752.4771331088,310.64062224248977,237.84697916783566,-8040.741982888982,0.8540819751373541,0.8634790604557891,0.9265878797523731,4.568592879301657,0,0,0,0,0,0,1.0,1.0,7.40652572448337,2.813534955971985,6,Day_6,130,130,10
char,1.0439856650813044,1.0433518594520355,-316.7763465090717,1012.9313376856944,752.4317003954891,310.6393731802655,237.69221386443152,-8134.721545449008,0.8560920121914286,0.8671250057339152,0.9268934799893791,5.612578544382961,0,0,0,0,0,0,1.0,1.0,5.567364808571718,-0.9909711175083622,6,Day_6,131,131,11
char,1.0492018714629028,1.0433529481392485,-318.4625523937329,1012.8942935012054,752.3862722254495,310.63812424294747,237.5874916545987,-8134.960300370662,0.8558320715720565,0.8668638311393043,0.9269375807360981,6.661780415845864,0,0,0,0,0,0,1.0,1.0,5.747892096874874,-0.6720822621823856,6,Day_6,132,132,12
idle,0.0,0.0,0.0,1012.8228190718553,752.3408485982269,310.63687543052316,237.59354790543324,0.0,0.9998528203493666,,,6.661780415845864,0,0,0,0,0,0,,,,,6,Day_6,133,133,13
idle,0.0,0.0,0.0,1012.7513517899481,752.295429513367,310.6356267429801,237.5996035506427,0.0,0.9998528183866532,,,6.661780415845864,0,0,0,0,0,0,,,,,6,Day_6,134,134,14
idle,0.0,0.0,0.0,1012.6798916547691,752.2500149704157,310.63437818030576,237.60565859028767,0.0,0.9998528164238897,,,6.661780415845864,0,0,0,0,0,0,,,,,6,Day_6,135,135,15
idle,0.0,0.0,0.0,1012.6084386656037,752.2046049689186,310.6331297424877,237.61171302442867,0.0,0.9998528144610753,,,6.661780415845864,0,0,0,0,0,0,,,,,6,Day_6,136,136,16
dis,1.1094928565144642,1.0633879408190514,228.80828993980433,1012.5369928217372,752.4701172542794,310.6324838292777,237.61776685312623,10845.105664390632,0.7955288793552218,0.8557657014448251,0.9245400025226141,5.5522875593314,0,0,0,0,0,0,1.0,1.0,12.170951004784026,1.5920743681632743,6,Day_6,137,137,17
dis,1.168014190033784,1.0709340158733704,238.07923423214174,1012.4655541224549,752.3847849248266,310.74788245809884,237.62382007644092,14159.938634589962,0.7836926013977176,0.8444349784040608,0.9215108557461247,4.384273369297616,0,0,0,0,0,0,1.0,1.0,15.935319649431289,4.957727947375275,6,Day_6,138,138,18
dis,1.1386831084846536,1.0666897879823092,233.63405782641306,1012.3941225670427,752.4101367782048,310.7720125214188,237.6298726944333,12197.613617812938,0.7905230723603964,0.8507202632302748,0.9233615883316606,3.2455902608129623,0,0,0,0,0,0,1.0,1.0,13.949113440258332,3.2484826841482217,6,Day_6,139,139,19
dis,1.0927321357270336,1.0615809225708464,225.69430597547904,1012.3226981547859,752.5366565826528,310.73186544286904,237.63592470716387,10226.504663289783,0.7982498658927305,0.8581925638251322,0.9249863727485462,2.1528581250859284,0,0,0,0,0,0,1.0,1.0,11.21962473856244,0.6589032861318422,6,Day_6,140,140,20
dis,1.0946985937113733,1.0617434060122721,226.02007628906784,1012.2512808849705,752.6163123867617,310.70327935669906,237.64197611469316,10294.059512377204,0.7980798846117799,0.8579257854450211,0.9249496843619804,1.058159531374555,0,0,0,0,0,0,1.0,1.0,11.328559806385496,0.7642071429809079,6,Day_6,141,141,21
dis,1.058159531374555,1.0737369869443831,219.3290847044443,1012.179870756882,752.5708657555231,310.7020240287634,237.64802691708172,8997.67741244463,0.7989768639048885,0.8576994180017411,0.9226441175269928,0.0,0,0,0,0,0,0,1.0,1.0,11.876040757330308,-2.302584748455512,6,Day_6,142,142,22
idle,0.0,0.0,0.0,1012.1084677698063,752.5254236689475,310.7007688263605,237.65407711439002,0.0,0.9998461033440003,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,143,143,23
