day,date,initial_mass,final_mass,initial_t_hh,initial_t_lh,initial_t_hc,initial_t_lc,final_t_hh,final_t_lh,final_t_hc,final_t_lc,total_charge_power,total_discharge_power,charge_hours,discharge_hours,idle_hours,daily_profit,daily_penalty,daily_net_profit,avg_charge_power,avg_discharge_power,max_violations,avg_eff_com,avg_eff_exp,avg_lmp,max_lmp,min_lmp
1,Day_1,5,1.882760016,1013.15,768.4455486,309.6749791,240.2156867,1011.791835,752.8311155,311.634972,240.2737131,1428.103577,1626.123425,5,7,12,121460.1673,0,121460.1673,285.6207154,232.3033464,0,0.85253051,0.924819844,61.33012708,222.4155,35.61398
2,Day_2,1.882760016,0,1011.791835,752.8311155,311.634972,240.2737131,1011.646012,751.4456147,311.5629741,237.9238752,1912.973324,1651.461297,6,7,11,151428.5355,0,151428.5355,318.8288873,235.9230424,0,0.851929891,0.922735571,68.98764417,318.8193,37.27719
3,Day_3,0,0,1011.646012,751.4456147,311.5629741,237.9238752,1012.077856,751.7928953,311.1503545,237.3005503,1705.977807,1145.123102,5,5,14,30358.71797,0,30358.71797,341.1955613,229.0246205,0,0.857048397,0.924205861,47.48872583,114.25,32.7977
4,Day_4,0,0,1012.077856,751.7928953,311.1503545,237.3005503,1012.112246,752.8686047,310.8187165,237.4192385,2054.792397,1382.636513,6,6,12,25053.93371,0,25053.93371,342.4653996,230.4394189,0,0.857954992,0.924604888,40.80814792,71,26.72356
5,Day_5,0,0,1012.112246,752.8686047,310.8187165,237.4192385,1012.112679,752.9771929,310.6543702,237.4154215,2010.5504,1362.361482,6,6,12,20002.73573,0,20002.73573,335.0917333,227.060247,0,0.859557913,0.925122996,38.95423542,71.14175,27.33447
6,Day_6,0,0,1012.112679,752.9771929,310.6543702,237.4154215,1012.108468,752.5254237,310.7007688,237.6540771,2028.486932,1371.565049,6,6,12,19906.92828,0,19906.92828,338.0811554,228.5941748,0,0.857932004,0.924013964,35.05250167,59.47574,20.07426
7,Day_7,0,5.000000012,1012.108468,752.5254237,310.7007688,237.6540771,1012.133317,755.4479671,310.1014967,238.6585329,3068.250743,1028.915803,9,5,10,1486.146271,0,1486.146271,340.9167492,205.7831605,0,0.857402317,0.919155657,30.59870208,57.42631,12.57056
