metric,value
total_reward,369697.1647883877
avg_daily_reward,52813.88068405539
charge_hours,43.0
discharge_hours,42.0
idle_hours,83.0
avg_charge_power,330.44500417824196
avg_discharge_power,227.81396835668025
avg_charge_power_per_mflow,302.8636965240686
avg_discharge_power_per_mflow,204.325496063371
violation_penalty,0.0
profit_without_penalty,369697.1647883877
total_violations,0.0
max_t_hh,1013.0785291152059
min_t_lh,750.7208854598629
max_t_hc,311.8808385114265
min_t_lc,237.00392668757164
