day,date,total_demand,total_cost,ptes_charge_energy,ptes_discharge_energy,avg_charge_power_per_m,avg_discharge_power_per_m,avg_charge_price,avg_discharge_price,admm_iterations
1,2025/6/4,52719.64531,138332.4543,2818.927259,2807.197734,294.9814629,204.5932253,11.88163174,28.27173762,18
2,2025/6/5,57135.8776,114287.091,3037.12545,1998.778651,303.7234996,205.3491194,6.115029522,31.91316141,14
3,2025/6/6,54275.73468,185556.2094,3099.783152,1101.716933,309.984087,208.4066487,1.5,37.75593012,19
4,2025/6/8,56047.97556,672814.5419,1228.430887,1909.660877,291.8965573,204.0815066,27.81857887,58.36692424,11
5,2025/6/9,57205.51579,707867.5818,2790.684619,1953.469096,300.7625627,204.5957967,27.83249131,58.20625967,23
6,2025/6/10,57904.12978,687195.9747,2866.19867,1943.694633,300.4283244,204.6322346,27.89209303,61.46251865,11
7,2025/6/11,55066.78829,451753.1462,3077.459158,1126.663843,307.7790398,207.2704806,8.3113136,45.33898776,17
Total,,390355.667,2957806.999,18918.60919,12841.18177,301.3650762,205.5612874,14.48743691,45.20295628,16.14285714
