hour,day,demand,power_NGCC 1,power_NGCC 2,power_NGCT 1,power_NGCT 2,power_Coal,power_Hydro,power_Wind,power_PV,ptes_charge,ptes_discharge,ptes_power
0,1,1729.798967,0.0,0.0,0.0,0.0,447.02265813260607,400.0,667.11482,0.0,0.0,215.661488867394,215.661488867394
1,1,1619.461092,0.0,0.0,0.0,0.0,392.44786247318007,400.0,613.072878,0.0,0.0,213.94035152681997,213.94035152681997
2,1,1539.19394,0.0,0.0,0.0,0.0,364.2470204385135,400.0,577.009768,0.0,0.0,197.93715156148673,197.93715156148673
3,1,1480.840935,0.0,0.0,0.0,0.0,363.58318327865686,400.0,524.94497,0.0,0.0,192.3127817213431,192.3127817213431
4,1,1442.271664,0.0,0.0,0.0,0.0,363.0072233020885,400.0,472.405658,0.0,0.0,206.85878269791144,206.85878269791144
5,1,1432.063239,0.0,0.0,0.0,0.0,364.60112720000006,400.0,462.335402,205.12670980000001,-0.0,0.0,0.0
6,1,1994.321497,0.0,0.0,0.0,0.0,0.6496692194217699,400.0,434.022698,1183.5753701,23.926240319421865,0.0,-23.926240319421865
7,1,2305.690025,0.0,0.0,0.0,0.0,0.0,399.9392413530327,331.263922,1756.0110702000002,181.524208553033,0.0,-181.524208553033
8,1,2418.139828,0.0,0.0,0.0,0.0,0.034657888681977056,400.0,437.001594,1932.4646206999998,351.361044588682,0.0,-351.361044588682
9,1,2545.909201,0.0,0.0,0.0,0.0,0.0,399.98988895566526,481.105092,2003.4988234999998,338.6846034556651,0.0,-338.6846034556651
10,1,2644.934163,0.0,0.0,0.0,0.0,0.041168846573327755,400.0,552.994056,1991.3260090999997,299.4270709465732,0.0,-299.4270709465732
11,1,2637.683362,0.0,0.0,0.0,0.0,0.021567806649272825,400.0,610.6739419999999,1953.3447406,326.3568884066491,0.0,-326.3568884066491
12,1,2588.378839,0.0,0.0,0.0,0.0,0.0,399.9359946167283,648.081512,1897.7137642999999,357.3524319167282,0.0,-357.3524319167282
13,1,2705.662509,0.0,0.0,0.0,0.0,0.05226519751931846,400.0,716.938854,1832.8965787999996,244.22518899751893,0.0,-244.22518899751893
14,1,2636.038183,0.0,0.0,0.0,0.0,0.0,399.9460180585934,814.50433,1759.6158947000001,338.0280597585935,0.0,-338.0280597585935
15,1,2461.321144,0.0,0.0,0.0,0.0,0.0,316.1702936301272,1000.2504379999999,1502.9419344999997,358.04152213012696,0.0,-358.04152213012696
16,1,2520.006882,0.0,0.0,0.0,0.0,32.26911936510896,400.0,1135.3289300000001,737.6219968,0.0,214.7868358348908,214.7868358348908
17,1,2519.470812,0.0,0.0,0.0,0.0,506.77506230541394,400.0,1337.155812,47.7856947,0.0,227.75424299458592,227.75424299458592
18,1,2469.754995,0.0,0.0,0.0,0.0,403.38438428978344,400.0,1440.23093,0.0,0.0,226.13968071021625,226.13968071021625
19,1,2476.026083,0.0,0.0,0.0,0.0,432.26572667812366,400.0,1417.1115240000001,0.0,0.0,226.64883232187643,226.64883232187643
20,1,2408.527549,0.0,0.0,0.0,0.0,412.66132522923357,400.0,1369.580978,0.0,0.0,226.28524577076615,226.28524577076615
21,1,2242.928311,0.0,0.0,0.0,0.0,318.787709835408,400.0,1299.56371,0.0,0.0,224.57689116459215,224.57689116459215
22,1,2045.964392,0.0,0.0,0.0,0.0,169.89021602726638,400.0,1254.616632,0.0,0.0,221.45754397273367,221.45754397273367
23,1,1855.257696,0.0,0.0,0.0,0.0,32.064827618039956,400.0,1210.3549639999999,0.0,0.0,212.83790438196002,212.83790438196002
24,2,1705.149016,0.0,0.0,0.0,0.0,87.54921530144556,400.0,1181.778638,0.0,0.0,35.82116269855449,35.82116269855449
25,2,1608.966147,0.0,0.0,0.0,0.0,80.62312500000007,400.0,1128.343022,0.0,-0.0,0.0,0.0
26,2,1553.062425,0.0,0.0,0.0,0.0,104.64875300000017,400.0,1048.413672,0.0,-0.0,0.0,0.0
27,2,1512.561456,0.0,0.0,0.0,0.0,87.63021134754476,400.0,990.417442,0.0,0.0,34.51380265245504,34.51380265245504
28,2,1510.509604,0.0,0.0,0.0,0.0,94.71608377528709,400.0,912.175254,0.0,0.0,103.61826622471305,103.61826622471305
29,2,1597.334365,0.0,0.0,0.0,0.0,103.9575,400.0,872.2896639999999,221.087201,-0.0,0.0,0.0
30,2,2210.643993,0.0,0.0,0.0,0.0,0.0,307.7994504637824,822.0174779999998,1298.7817353,217.95467076378185,0.0,-217.95467076378185
31,2,2708.809607,0.0,0.0,0.0,0.0,0.0,317.56954901768756,815.7960639999999,1932.1511583,356.7071643176874,0.0,-356.7071643176874
32,2,2868.327229,0.0,0.0,0.0,0.0,0.0,307.33342827153933,854.1262999999999,2063.831745,356.9642442715392,0.0,-356.9642442715392
33,2,2976.049454,0.0,0.0,0.0,0.0,0.0,399.98087001636713,859.952284,2041.1840429,325.06774291636714,0.0,-325.06774291636714
34,2,3004.401057,0.0,0.0,0.0,0.0,0.034192503920621675,400.0,877.509326,1993.3983481999999,266.5408097039204,0.0,-266.5408097039204
