mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_ex,eff_com,eff_exp,mass_norm,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error,n,p_exp,alpha_com,alpha_exp,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1002.9602741141031,748.5834348425371,310.6775128185216,238.83628947912902,0.0,0.9998459124160058,,,0.0,0,0,0,0,0,0,,,,,7,Day_7,144,144,0
idle,0.0,0.0,0.0,1002.8897930866916,748.5383914990529,310.67626006723975,238.84222085018112,0.0,0.9998459102341924,,,0.0,0,0,0,0,0,0,,,,,7,Day_7,145,145,1
idle,0.0,0.0,0.0,1002.819319107383,748.4933526599029,310.675007441233,238.84815162809613,0.0,0.9998459080523806,,,0.0,0,0,0,0,0,0,,,,,7,Day_7,146,146,2
idle,0.0,0.0,0.0,1002.7488521754723,748.448318324637,310.67375494048883,238.85408181293334,0.0,0.999845905870569,,,0.0,0,0,0,0,0,0,,,,,7,Day_7,147,147,3
idle,0.0,0.0,0.0,1002.6783922902547,748.4032884928044,310.6725025649948,238.86001140475207,0.0,0.9998459036887583,,,0.0,0,0,0,0,0,0,,,,,7,Day_7,148,148,4
idle,0.0,0.0,0.0,1002.6079394510257,748.3582631639551,310.67125031473824,238.8659404036116,0.0,0.9998459015069487,,,0.0,0,0,0,0,0,0,,,,,7,Day_7,149,149,5
char,1.0526776341801738,1.040183546182225,-314.8672749460667,1005.8577012253687,748.3132423376387,310.66999818970675,237.2224901282018,-7008.457496023278,0.8560399513872355,0.8678416153414005,0.9273737547097978,1.0526776341801738,0,0,0,0,0,0,1.0,1.0,4.22151609954835,-0.186900298350281,7,Day_7,150,150,6
char,1.22787076268557,1.0429159836399566,-384.0881664353633,1009.7127652892059,748.268226013405,310.66874618988777,238.01995516627346,-4828.203341465721,0.8406452522515971,0.8471584915568965,0.9072166263298318,2.280548396865744,0,0,0,0,0,0,1.0,1.0,12.88949228978642,15.411054029422647,7,Day_7,151,151,7
char,1.2213643949762296,1.0436336882598636,-381.61729348691864,1010.8402839897782,748.2232141908036,310.66749431526875,238.16874166202,-5340.226471349089,0.8419374288126035,0.8480648417151397,0.9100635973062797,3.5019127918419732,0,0,0,0,0,0,1.0,1.0,12.658712651424974,14.222407191786466,7,Day_7,152,152,8
char,1.2208538306153733,1.043797107698086,-381.47883430232974,1011.3660235873748,748.1782068693844,310.6662425658372,238.23415536437562,-5372.183313639245,0.8419405542232898,0.8481203733674435,0.9103083544673878,4.722766622457346,0,0,0,0,0,0,1.0,1.0,12.648229635518081,14.109931535700929,7,Day_7,153,153,9
char,1.2210862730721836,1.0438923368383772,-381.62422801802603,1011.6611529645375,748.1332040486975,310.6649909415806,238.27299101519736,-5349.783975501577,0.8417975837735912,0.8480713582175925,0.9102684469905833,5.943852895529529,0,0,0,0,0,0,1.0,1.0,12.664971949300007,14.121645294946843,7,Day_7,154,154,10
char,1.211918933918481,1.044840469382856,-378.2372266143966,1011.8419270574154,748.0882057282927,310.6637394424864,238.2478064816014,-5825.889659862631,0.8433158120162814,0.8493322121846913,0.9133892905795776,7.15577182944801,0,0,0,0,0,0,1.0,1.0,12.337986365509824,12.669674745344013,7,Day_7,155,155,11
