mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_ex,eff_com,eff_exp,mass_norm,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error,n,p_exp,alpha_com,alpha_exp,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1008.0139931913689,751.3143893404185,310.6461017650125,237.97400148033302,0.0,0.9998460453171625,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,120,120,0
idle,0.0,0.0,0.0,1007.9430067920497,751.2690729014845,310.644852154836,237.980019080185,0.0,0.9998460431352362,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,121,121,1
idle,0.0,0.0,0.0,1007.8720274913704,751.2237609941943,310.64360266962046,237.986036078277,0.0,0.9998460409533096,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,122,122,2
idle,0.0,0.0,0.0,1007.8010552886213,751.1784536180949,310.6423533093535,237.9920524746692,0.0,0.9998460387713846,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,123,123,3
idle,0.0,0.0,0.0,1007.7300901830924,751.1331507727331,310.64110407402256,237.99806826942176,0.0,0.9998460365894589,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,124,124,4
idle,0.0,0.0,0.0,1007.6591321740741,751.0878524576558,310.63985496361516,238.00408346259485,0.0,0.999846034407533,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,125,125,5
idle,0.0,0.0,0.0,1007.5881812608567,751.04255867241,310.6386059781188,238.0100980542486,0.0,0.999846032225608,,,0.0,0,0,0,0,0,0,,,,,6,Day_6,126,126,6
char,1.1823235873430837,1.039738429817401,-363.84387450851824,1013.0784939322652,750.9972694165427,310.637357117521,238.0774800178635,-7303.896536291367,0.8475533042379891,0.8542037608821121,0.9188350235280099,1.1823235873430837,0,0,0,0,0,0,1.0,1.0,10.70368364580403,10.148110808426464,6,Day_6,127,127,7
char,1.173335515579466,1.040554126391989,-360.77552170088666,1013.042613058552,750.9519846896011,310.6361083818092,237.98560715812798,-7503.867485247601,0.848495131829994,0.855298020303728,0.9204342800561703,2.3556591029225498,0,0,0,0,0,0,1.0,1.0,10.38351328747813,9.09037105235092,6,Day_6,128,128,8
char,1.1355705390560895,1.0433422448444858,-348.07830918310333,1013.0060648014822,750.9067044911321,310.634859770971,237.77060878193515,-7984.523084171014,0.8518007404276235,0.8595764100381447,0.9245869652959086,3.4912296419786393,0,0,0,0,0,0,1.0,1.0,9.031755620045324,5.351958650562917,6,Day_6,129,129,9
char,1.0965504055811235,1.029080872632984,-323.7594945551237,1010.9459653962602,750.861428820683,310.6336112849939,237.88046989948612,-7791.4211658365475,0.8537450266038262,0.8656245018808214,0.9272865459793662,4.587780047559763,0,0,0,0,0,0,1.0,1.0,4.7083502961197565,3.932821558462699,6,Day_6,130,130,10
char,1.0314396787365918,0.9944437824463485,-282.15187440881834,1006.5651159605113,750.816157677801,310.6323629238654,238.43294385132958,-7245.575489256133,0.8533792212344278,0.8698717352108146,0.9293107092096806,5.619219726296355,0,0,0,0,0,0,0.9864525539490303,1.0,0.45126699611119925,2.6107318184435506,6,Day_6,131,131,11
char,1.0373746150375514,0.9984829164892203,-286.19524917474496,1003.8065964517008,750.7708910620332,310.631114687573,238.76506674021124,-7310.708818639289,0.8536404893894138,0.8697178432780819,0.9292492507638587,6.656594341333906,0,0,0,0,0,0,0.9884768910699032,1.0,0.7072296037279768,2.6453191378204863,6,Day_6,132,132,12
idle,0.0,0.0,0.0,1003.7360307920557,750.725628972927,310.62986657610423,238.77100523353724,0.0,0.9998526050345826,,,6.656594341333906,0,0,0,0,0,0,,,,,6,Day_6,133,133,13
idle,0.0,0.0,0.0,1003.6654721889764,750.6803714100297,310.6286185894466,238.7769431330139,0.0,0.9998526030618337,,,6.656594341333906,0,0,0,0,0,0,,,,,6,Day_6,134,134,14
idle,0.0,0.0,0.0,1003.5949206417575,750.6351183728887,310.6273707275877,238.78288043870063,0.0,0.9998526010890364,,,6.656594341333906,0,0,0,0,0,0,,,,,6,Day_6,135,135,15
idle,0.0,0.0,0.0,1003.5243761496934,750.5898698610514,310.6261229905149,238.78881715065677,0.0,0.9998525991161904,,,6.656594341333906,0,0,0,0,0,0,,,,,6,Day_6,136,136,16
dis,1.1081856022359904,1.0560156774437561,223.64213016187898,1003.4538387120784,749.9512287556001,310.6190646240942,238.79475326894172,10600.238886681376,0.7942297852826559,0.8563900001521428,0.9256248036254336,5.5484087390979155,0,0,0,0,0,0,1.0,1.0,11.904279923107254,1.498227294638852,6,Day_6,137,137,17
dis,1.1675502553931638,1.0637074235472521,232.9154677152934,1003.3833083282072,749.2835096589579,310.7312863129706,238.80068879361485,13852.819799813185,0.7822552785591546,0.8450104789447282,0.922703815371173,4.380858483704752,0,0,0,0,0,0,1.0,1.0,15.758603040193764,4.888033616244112,6,Day_6,138,138,18
dis,1.1377848503285148,1.0593915914824517,228.4676971484596,1003.3127849973745,748.9419291155123,310.75301652928556,238.80662372473552,11927.887226266208,0.7891783714105202,0.8513358690278386,0.9244992054446978,3.2430736333762367,0,0,0,0,0,0,1.0,1.0,13.726341267009513,3.1656616044224,6,Day_6,139,139,19
dis,1.0914574424769987,1.0541735249229798,220.57821090524408,1003.2422687188747,748.8244668775473,310.7111158699978,238.81255806236305,9994.687693572894,0.7969381965821749,0.8587813025044932,0.9260354529737984,2.151616190899238,0,0,0,0,0,0,1.0,1.0,10.939227556103926,0.5752297517825085,6,Day_6,140,140,20
dis,1.0934749408792752,1.054370937880405,220.90957915211195,1003.1717594920028,748.718591903501,310.6812718241433,238.81849180655684,10061.302482429232,0.7967520848394519,0.8585045088762543,0.9259976947506813,1.0581412500199627,0,0,0,0,0,0,1.0,1.0,11.056715857161215,0.6803301559660788,6,Day_6,141,141,21
