metric,value
total_reward,369956.92147325806
avg_daily_reward,52850.98878189401
charge_hours,43.0
discharge_hours,42.0
idle_hours,83.0
avg_charge_power,328.62371749065477
avg_discharge_power,226.58337582496318
avg_charge_power_per_mflow,300.9808426125027
avg_discharge_power_per_mflow,203.31687517968086
violation_penalty,0.0
profit_without_penalty,369956.92147325806
total_violations,0.0
max_t_hh,1013.0785821156029
min_t_lh,747.8632816147499
max_t_hc,311.8805970774589
min_t_lc,237.1847809394231
