mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_ex,eff_com,eff_exp,mass_norm,vio_choke_com,vio_choke_exp,vio_surge,vio_beta,vio_t13,vio_error,n,p_exp,alpha_com,alpha_exp,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1010.7852507152021,752.3691677116508,310.8138900687674,237.61115371445354,0.0,0.9998460947180032,,,0.0,0,0,0,0,0,0,,,,,5,Day_5,96,96,0
idle,0.0,0.0,0.0,1010.7139871901305,752.3237457948796,310.8126236797605,237.6172075990821,0.0,0.9998460925361874,,,0.0,0,0,0,0,0,0,,,,,5,Day_5,97,97,1
idle,0.0,0.0,0.0,1010.6427307914115,752.2783284203001,310.8113574173925,237.6232608783222,0.0,0.9998460903543707,,,0.0,0,0,0,0,0,0,,,,,5,Day_5,98,98,2
idle,0.0,0.0,0.0,1010.5714815183323,752.232915587458,310.8100912816508,237.6293135522344,0.0,0.9998460881725549,,,0.0,0,0,0,0,0,0,,,,,5,Day_5,99,99,3
idle,0.0,0.0,0.0,1010.5002393701806,752.1875072958993,310.8088252725226,237.6353656208792,0.0,0.9998460859907389,,,0.0,0,0,0,0,0,0,,,,,5,Day_5,100,100,4
idle,0.0,0.0,0.0,1010.4290043462436,752.1421035451697,310.80755938999533,237.64141708431714,0.0,0.9998460838089227,,,0.0,0,0,0,0,0,0,,,,,5,Day_5,101,101,5
idle,0.0,0.0,0.0,1010.3577764458089,752.0967043348152,310.8062936340563,237.64746794260873,0.0,0.9998460816271068,,,0.0,0,0,0,0,0,0,,,,,5,Day_5,102,102,6
char,1.0952480084611576,1.0425386542583273,-333.463226968797,1013.078553198389,752.0513096643817,310.8050280046929,237.1847809394231,-9538.57555288711,0.8545882460721635,0.8636839153306571,0.9265905277053809,1.0952480084611576,0,0,0,0,0,0,1.0,1.0,7.372432469978718,2.4238738325655653,5,Day_5,103,103,7
char,1.1244706638942157,1.0410796464967744,-343.0005513939678,1013.0432572658324,752.0059195334153,310.8037625018924,237.31566257324954,-9391.039536659555,0.8527323945765525,0.8610104389908868,0.9253898661553306,2.2197186723553735,0,0,0,0,0,0,1.0,1.0,8.406332806183169,4.740996352312912,5,Day_5,104,104,8
char,1.1252813258500836,1.0411529457150182,-343.3244791736258,1013.007693129664,751.9605339414619,310.80249712564216,237.36025098331658,-9384.592676237098,0.8525585640001085,0.860918009282157,0.9253369089111212,3.344999998205457,0,0,0,0,0,0,1.0,1.0,8.444756217783599,4.796040878710251,5,Day_5,105,105,9
char,1.1189156692802795,1.041649619368341,-341.2989983102438,1012.9718970097487,751.9151528880677,310.8012318759296,237.3648662736116,-9438.838816638727,0.8528645596157658,0.8615283609373353,0.9256888436679315,4.463915667485736,0,0,0,0,0,0,1.0,1.0,8.228873981822238,4.247079712655072,5,Day_5,106,106,10
char,1.0970465479544471,1.0302961588682558,-325.37422816813455,1011.6591531869811,751.8697763727789,310.799966752742,237.52159443717852,-9191.307854469294,0.8537512843899056,0.8653436229528892,0.9272308691645085,5.560962215440183,0,0,0,0,0,0,1.0,1.0,5.208322751369021,3.8409174456698167,5,Day_5,107,107,11
char,1.0438132140807488,1.006322251636475,-293.27473397463024,1008.8663839356008,751.8244043951416,310.79870175606675,237.9017433229181,-8744.933470844338,0.8542010986087274,0.8693901069460024,0.9292519915290566,6.604775429520932,0,0,0,0,0,0,0.99307340914399,1.0,1.0658373016836364,2.3548729336021665,5,Day_5,108,108,12
idle,0.0,0.0,0.0,1008.7953122972071,751.7790369547021,310.7974368858911,237.90776814858583,0.0,0.9998526835234649,,,6.604775429520932,0,0,0,0,0,0,,,,,5,Day_5,109,109,13
idle,0.0,0.0,0.0,1008.7242477659775,751.7336740510066,310.7961721422025,237.913792371771,0.0,0.9998526815567406,,,6.604775429520932,0,0,0,0,0,0,,,,,5,Day_5,110,110,14
idle,0.0,0.0,0.0,1008.6531903412008,751.6883156836014,310.7949075249883,237.91981599253384,0.0,0.9998526795899658,,,6.604775429520932,0,0,0,0,0,0,,,,,5,Day_5,111,111,15
dis,1.0400778521140919,1.0500837462737709,213.47069432110078,1008.5821400221666,752.0449104814239,310.6067480060885,237.9258390109346,10191.596872434893,0.804318624406049,0.8648447678741058,0.9263214343285491,5.5646975774068395,0,0,0,0,0,0,1.0,1.0,7.677530651794062,-1.841658368711105,5,Day_5,112,112,16
dis,1.1217835097033695,1.059122698704751,228.81957197828012,1008.5110968081644,751.8633180745593,310.6167694340969,237.9318614270335,13243.310280536725,0.794396787317389,0.8550223799757439,0.9248610697625345,4.4429140677034695,0,0,0,0,0,0,1.0,1.0,12.27596949742602,2.4952927443876938,5,Day_5,113,113,17
dis,1.1717285379109137,1.0667000168508303,236.50850761509633,1008.4400606984836,751.5270372398594,310.7095925072029,237.9378832408908,16825.62912162628,0.7834287582978098,0.844800961352561,0.9218663167161188,3.2711855297925556,0,0,0,0,0,0,1.0,1.0,15.710171144831975,5.335954534686895,5,Day_5,114,114,18
dis,1.1239378865340484,1.0592866764380222,229.11084019024997,1008.3690316924138,751.4406899903913,310.7041895241986,237.94390445256673,13350.593375303319,0.7942249792361598,0.8546717561519387,0.9247859552989764,2.147247643258507,0,0,0,0,0,0,1.0,1.0,12.404112881825903,2.61585986094196,5,Day_5,115,115,19
dis,1.0761453624495885,1.0537589692526586,220.48794583955478,1008.2980097892446,751.4957004216585,310.6511014555787,237.94992506212148,11315.536190302662,0.8013174446923519,0.861463747339216,0.9261253297169763,1.0711022808089186,0,0,0,0,0,0,1.0,1.0,9.586065757108809,-3.246790013733403e-05,5,Day_5,116,116,20
dis,1.0711022808089186,1.0728324742027031,220.0077413279129,1008.2269949882657,751.4503658516163,310.64985134543315,237.9559450696153,10899.722524351058,0.8016067943146129,0.8563958239308904,0.9229795119357177,0.0,0,0,0,0,0,0,1.0,1.0,12.438209085312968,-1.7523260737217505,5,Day_5,117,117,21
idle,0.0,0.0,0.0,1008.1559872887668,751.4050358150312,310.6486013602986,237.96196447510835,0.0,0.9998460496810153,,,0.0,0,0,0,0,0,0,,,,,5,Day_5,118,118,22
idle,0.0,0.0,0.0,1008.0849866900379,751.3597103114497,310.64735150016253,237.96798327866085,0.0,0.9998460474990886,,,0.0,0,0,0,0,0,0,,,,,5,Day_5,119,119,23
